Latitude,Longitude,Rate,Depth,Thick,Temp,Perm,Poro,Time,Weight,Injectivity_ton/(day*MPa),Cost_M$,PlumeRadius_m
48.989885,-100.750153,1000,1542,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.960726,-100.750184,1000,1522,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.78645,-100.750617,1000,1478,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.674354,-100.752458,1000,1446,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.714344,-100.753007,1000,1482,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.723875,-100.754015,1000,1477,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.972005,-100.755002,1000,1541,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.721146,-100.755346,1000,1467,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.724764,-100.755396,1000,1472,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.728458,-100.755448,1000,1479,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.732022,-100.755466,1000,1482,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.931429,-100.75627,1000,1518,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.717688,-100.757779,1000,1469,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.688803,-100.757979,1000,1459,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.580157,-100.758122,1000,1428,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.718426,-100.759139,1000,1474,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.728457,-100.76092,1000,1480,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.899137,-100.76118,1000,1507,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.928079,-100.761185,1000,1518,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.931794,-100.761205,1000,1522,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.723842,-100.765035,1000,1478,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.724744,-100.766413,1000,1472,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.971365,-100.766791,1000,1534,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.94985,-100.767469,1000,1529,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.735692,-100.772,1000,1471,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.720643,-100.773991,1000,1473,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.746588,-100.777538,1000,1481,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.862781,-100.777951,1000,1501,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.728438,-100.782872,1000,1475,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.761082,-100.782978,1000,1482,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.935388,-100.783254,1000,1523,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.960787,-100.78329,1000,1527,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.938999,-100.788817,1000,1523,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.917224,-100.789571,1000,1507,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.757499,-100.793906,1000,1482,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.753779,-100.793945,1000,1481,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.750298,-100.793987,1000,1471,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.949892,-100.79432,1000,1531,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.485807,-100.795334,1000,1488,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.753767,-100.79942,1000,1474,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.924864,-100.800497,1000,1515,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.928071,-100.800521,1000,1512,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.431223,-100.801242,1000,1487,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.924861,-100.804742,1000,1517,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.742903,-100.804882,1000,1464,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.750139,-100.80494,1000,1467,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.72068,-100.805188,1000,1460,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.953499,-100.805321,1000,1528,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.928067,-100.805349,1000,1515,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.978968,-100.805381,1000,1535,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.757073,-100.805483,1000,1475,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.921242,-100.805876,1000,1511,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.724735,-100.810122,1000,1459,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.753747,-100.810417,1000,1467,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.761089,-100.810444,1000,1471,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.73972,-100.810834,1000,1455,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.717499,-100.811628,1000,1463,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.920826,-100.811698,1000,1530,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.717937,-100.81228,1000,1463,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.717139,-100.813438,1000,1461,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.721116,-100.815526,1000,1465,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.742883,-100.815792,1000,1456,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.750119,-100.815892,1000,1461,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.757457,-100.815904,1000,1470,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.920645,-100.815941,1000,1516,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.729195,-100.816343,1000,1464,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.906294,-100.816514,1000,1504,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.989988,-100.816555,1000,1531,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.739734,-100.820018,1000,1448,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.746868,-100.820643,1000,1453,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.91992,-100.821349,1000,1518,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.768314,-100.821409,1000,1475,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.913542,-100.822004,1000,1512,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.986299,-100.822035,1000,1526,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.993612,-100.822074,1000,1534,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.703261,-100.822527,1000,1454,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.703261,-100.822527,1000,1454,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.7503,-100.825058,1000,1445,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.902701,-100.827515,1000,1505,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.699653,-100.828023,1000,1453,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.696086,-100.828049,1000,1462,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.953107,-100.828137,1000,1515,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.989999,-100.832386,1000,1523,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.913567,-100.832639,1000,1505,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.884482,-100.838239,1000,1506,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.775598,-100.842418,1000,1467,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.735718,-100.843053,1000,1470,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.779215,-100.843115,1000,1465,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.979083,-100.843387,1000,1523,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.772883,-100.843551,1000,1472,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.779361,-100.85413,1000,1468,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.899047,-100.854398,1000,1502,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.902699,-100.854398,1000,1505,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.801248,-100.859769,1000,1478,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.899071,-100.859888,1000,1500,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.804207,-100.86044,1000,1477,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.677964,-100.861057,1000,1467,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.801399,-100.864585,1000,1465,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.971797,-100.86538,1000,1514,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.80819,-100.865925,1000,1470,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.819091,-100.870331,1000,1456,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.739331,-100.870407,1000,1478,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.761063,-100.870516,1000,1458,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.789968,-100.870697,1000,1468,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.811786,-100.870743,1000,1468,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.934967,-100.870816,1000,1505,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.898997,-100.870868,1000,1505,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.696067,-100.872064,1000,1462,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.815512,-100.87561,1000,1440,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.924427,-100.876496,1000,1499,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.819528,-100.881409,1000,1443,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.87365,-100.881675,1000,1492,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.826763,-100.881832,1000,1433,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.880885,-100.881892,1000,1494,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.881707,-100.881893,1000,1495,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.906264,-100.8819,1000,1495,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.898584,-100.881908,1000,1502,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.884336,-100.882148,1000,1492,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.88503,-100.886307,1000,1498,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.994577,-100.886342,1000,1515,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.743024,-100.887101,1000,1479,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.884649,-100.887138,1000,1502,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.75026,-100.887266,1000,1484,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.884485,-100.887387,1000,1498,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.888171,-100.887398,1000,1502,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.909946,-100.887401,1000,1498,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.8446,-100.887437,1000,1486,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.899916,-100.887564,1000,1509,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.903151,-100.888059,1000,1498,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.891642,-100.888065,1000,1491,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.685232,-100.888464,1000,1465,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.405833,-100.888518,1000,1499,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.707037,-100.888617,1000,1467,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.903563,-100.888683,1000,1501,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.899509,-100.892222,1000,1494,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.899758,-100.892222,1000,1499,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.855472,-100.892296,1000,1490,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.90634,-100.892881,1000,1496,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.891809,-100.892888,1000,1493,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.859123,-100.892974,1000,1499,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.913139,-100.893578,1000,1501,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.903022,-100.897931,1000,1501,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.743034,-100.898041,1000,1480,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.909971,-100.89843,1000,1499,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.917259,-100.898472,1000,1487,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.916881,-100.899822,1000,1501,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.91687,-100.903379,1000,1496,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.753893,-100.903542,1000,1477,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.753893,-100.903542,1000,1477,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.906365,-100.903922,1000,1502,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.913601,-100.903947,1000,1499,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.920463,-100.903978,1000,1500,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.953661,-100.904025,1000,1498,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.990076,-100.90479,1000,1516,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.707097,-100.90499,1000,1473,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.910001,-100.908798,1000,1501,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.808196,-100.909086,1000,1482,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.90603,-100.909412,1000,1488,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.917242,-100.909468,1000,1498,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.917242,-100.909468,1000,1498,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.880772,-100.914204,1000,1491,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.89193,-100.914889,1000,1487,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.9028,-100.9149,1000,1489,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.9028,-100.9149,1000,1489,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.913654,-100.914931,1000,1501,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.92095,-100.914964,1000,1495,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.728275,-100.920279,1000,1480,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.873735,-100.920315,1000,1493,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.888385,-100.920433,1000,1490,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.804612,-100.925681,1000,1487,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.877371,-100.925846,1000,1493,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.884607,-100.925908,1000,1490,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.869962,-100.929206,1000,1495,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.881011,-100.930719,1000,1495,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.728569,-100.930807,1000,1487,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.942713,-100.931604,1000,1486,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.950125,-100.931748,1000,1491,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.93914,-100.937039,1000,1469,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.935562,-100.941845,1000,1492,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.953797,-100.942634,1000,1481,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.957416,-100.942858,1000,1480,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.957443,-100.948147,1000,1496,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.764834,-100.952985,1000,1481,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.946603,-100.953575,1000,1497,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.957456,-100.953643,1000,1501,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.961104,-100.953659,1000,1499,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.958022,-100.958272,1000,1499,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.958022,-100.958272,1000,1499,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
